"YEAR","MONTH","LIP","LCPI","NEER","GS3M","GS6M","GS1","GS3"
2015,11,462.014213528759,460.517018598809,408.331654090669,0.807619047619048,0.792380952380952,0.871428571428571,1.87238095238095
2015,12,461.520385364701,460.220502443826,408.583185062557,0.7535,0.842,1.0255,2.111
2016,1,460.224901377354,460.071914006383,408.543761711496,0.9585,0.968,0.9955,1.9155
2016,2,458.607070337707,459.923104455113,407.028951824913,0.979047619047619,1.00714285714286,1.05095238095238,1.92380952380952
2016,3,457.066207802422,459.997536911099,407.524853475732,1.06473684210526,1.01894736842105,1.06368421052632,1.72315789473684
2016,4,462.799300976333,460.81265813417,407.538982644532,0.963333333333333,0.930952380952381,0.95047619047619,1.52333333333333
2016,5,462.112687195013,461.107426217904,408.302386016722,0.912380952380952,0.912380952380952,0.94,1.77714285714286
2016,6,460.625302312693,461.327933473735,408.262922388938,0.854090909090909,0.91,0.927272727272727,1.80636363636364
2016,7,462.309344092217,461.107426217904,408.384084035746,0.68047619047619,0.707619047619048,0.776190476190476,1.52142857142857
2016,8,461.816974806039,460.738830150011,407.317613770371,0.465652173913043,0.482173913043478,0.591304347826087,1.37217391304348
2016,9,459.923545046828,460.886431652823,406.837230410284,0.485454545454545,0.535909090909091,0.605454545454545,1.30090909090909
2016,10,460.525352279384,461.47466864313,406.158024720724,0.5005,0.533,0.557,1.2545
2016,11,462.701501457535,461.547955564695,406.687520739731,0.343809523809524,0.312380952380952,0.475238095238095,1.2247619047619
2016,12,463.092126954241,461.913586685006,407.646548928968,0.15047619047619,0.172857142857143,0.266666666666667,0.979523809523809
2017,1,462.211063986026,462.350586652118,406.762166064861,0.06,0.0909090909090909,0.232727272727273,0.992272727272727
2017,2,464.639546612502,462.713300143718,406.837732443786,0.072,0.106,0.225,1.4955
2017,3,465.404368696327,462.640862617914,407.106258007464,0.0745454545454546,0.0936363636363636,0.130909090909091,1.45909090909091
2017,4,466.068822968194,463.002526664933,407.788993868896,0.0705555555555556,0.0866666666666667,0.09,1.05055555555556
2017,5,467.664351888052,463.218898909464,407.075532264428,0.0754545454545455,0.0640909090909091,0.123636363636364,0.890909090909091
2017,6,466.822832195523,463.204488649334,406.44955964361,0.0519047619047619,0.0647619047619048,0.106190476190476,0.763809523809524
2017,7,463.286868982681,463.240510406865,405.748891567598,0.050952380952381,0.0904761904761905,0.09,0.787619047619048
2017,8,467.291217126765,463.283719395006,404.754782731541,0.05,0.113478260869565,0.0760869565217391,0.788695652173913
2017,9,466.822832195523,463.377274869428,405.869961175674,-0.012852380952381,0.00714285714285714,0.00238095238095238,0.538095238095238
2017,10,468.128820906984,463.650243934836,406.442189755633,-0.0357142857142857,-0.0166666666666667,-0.0157142857142857,0.511904761904762
2017,11,466.540744561358,464.008282269338,407.087748121086,-0.0304761904761905,0.00380952380952381,0.00619047619047619,0.555714285714286
2017,12,468.59114258113,464.079736363124,407.449231373871,-0.00736842105263158,-0.00210526315789474,-0.00105263157894737,0.558421052631579
2018,1,468.959467122759,464.365043261365,406.263356142582,-0.0240909090909091,0.00954545454545455,0.00681818181818182,0.51
2018,2,468.221456392997,464.578490514228,406.87912014393,-0.018,-0.0025,-0.001,0.7055
2018,3,467.850398453343,464.649538474588,407.068509134828,-0.0173684210526316,-0.0142105263157895,-0.00842105263157895,0.861052631578947
2018,4,468.959467122759,465.286708771857,406.890826076491,-0.00105263157894737,0.00157894736842105,0.0305263157894737,0.78
2018,5,470.781011111893,465.919844900214,408.362678909248,0.0919047619047619,0.0914285714285714,0.168095238095238,1.0152380952381
2018,6,470.056370259816,466.269862758434,410.012353692605,0.166666666666667,0.232380952380952,0.350952380952381,1.50095238095238
2018,7,467.291217126765,466.548997622162,410.3796810368,0.14,0.349090909090909,0.526818181818182,1.79136363636364
2018,8,471.679489752674,466.618659763607,410.015210785043,0.111818181818182,0.302272727272727,0.489545454545455,1.65863636363636
2018,9,468.959467122759,466.896824059794,410.43034539767,0.106,0.2555,0.5065,1.7405
2018,10,470.781011111893,467.450842097355,410.312622150542,-0.00952380952380952,0.0676190476190476,0.33047619047619,1.74714285714286
2018,11,470.147238053438,467.104940680176,409.95492110485,-0.0445,0.0025,0.2865,1.529
2018,12,475.367352791211,466.757838630888,410.085442550603,-0.00117647058823529,0.0341176470588235,0.317058823529412,1.24117647058824
2019,1,473.890990760651,467.035616587279,409.476640551263,0.0481818181818182,0.147727272727273,0.367727272727273,1.185
2019,2,473.715859367377,467.588868344251,408.959504151863,0.0935,0.1805,0.373,0.9945
2019,3,475.281108715146,468.276156273027,408.48039414742,0.0655,0.1095,0.289,1.154
2019,4,475.108397100538,469.162626449053,409.889770961068,0.0265,0.092,0.2035,1.3655
2019,5,477.752474373429,469.771765388393,410.872844582207,0.0395454545454545,0.0654545454545455,0.212272727272727,1.33272727272727
2019,6,474.327482069121,469.56913107387,410.218290992414,0.0936842105263158,0.114210526315789,0.223157894736842,0.963684210526316
2019,7,476.140220528377,469.771765388393,410.913846691965,0.0821739130434783,0.117391304347826,0.172173913043478,0.84695652173913
2019,8,474.762076408077,469.636721478605,411.188375574218,0.037,0.055,0.038,0.492
2019,9,477.752474373429,469.704266229569,412.794449502853,0.0395238095238095,0.040952380952381,0.029047619047619,0.389047619047619
2019,10,476.652167038996,470.310124696739,412.724898447826,0.0204545454545455,0.0163636363636364,0.00954545454545455,0.406363636363636
2019,11,475.194790194465,470.377216279263,413.425652492979,-0.0457142857142857,0.000952380952380952,-0.0414285714285714,0.291904761904762
2019,12,472.303655845022,470.645133385268,412.655003404563,-0.035,0.00722222222222222,-0.0172222222222222,0.298333333333333
2020,1,476.992014434907,471.577230679574,413.625328843724,0.00727272727272727,0.00227272727272727,0.0322727272727273,0.34
2020,2,475.194790194465,471.908028202528,414.548536264535,0.214,0.2255,0.3265,0.758
2020,3,464.351223491093,472.105982737642,415.729700939589,0.492727272727273,0.598181818181818,0.643181818181818,0.997727272727273
2020,4,429.464394569836,471.510939659579,418.438936579259,1.063,0.9455,1.175,1.4655
2020,5,445.67535144754,471.974056597136,417.122942769122,0.8195,0.846,0.965,1.3455
2020,6,461.915642796283,472.369314028718,416.163702765513,0.547619047619048,0.580952380952381,0.59952380952381,1.10571428571429
2020,7,468.683350978627,473.480799809348,416.919695681227,0.242173913043478,0.278695652173913,0.309130434782609,0.98695652173913
2020,8,474.935386676759,473.480799809348,416.266375319621,0.302631578947368,0.333684210526316,0.359473684210526,1.04684210526316
2020,9,476.907160802323,473.089919832843,418.910252366096,0.375,0.428636363636364,0.583636363636364,1.22590909090909
2020,10,478.507194936967,473.285550804919,419.397786914962,0.446190476190476,0.535714285714286,0.692380952380952,1.27619047619048
2020,11,476.907160802323,473.024624368558,419.038380175254,0.373809523809524,0.386190476190476,0.564761904761905,1.0747619047619
2020,12,475.194790194465,473.350676173551,418.610877469323,0.29,0.3455,0.445,0.853
2021,1,474.327482069121,474.258005794118,418.653167404782,0.31,0.3605,0.41,1.0155
2021,2,478.339970817732,474.965176854332,418.597086732605,0.4565,0.4385,0.503,1.196
2021,3,478.674139883922,475.667382101704,420.266126162373,0.615,0.596818181818182,0.634090909090909,1.47909090909091
2021,4,476.311160740942,476.490953433927,419.138972474655,0.5675,0.5575,0.667,1.312
2021,5,479.256262109883,476.994415793794,417.519514069284,0.501,0.611,0.697,1.5135
2021,6,478.59070224871,477.55779756562,416.549441940977,0.622727272727273,0.725,0.821818181818182,1.73954545454545
2021,7,478.256253776425,478.055930600641,418.413898278537,0.536818181818182,0.661818181818182,0.831363636363636,1.77909090909091
2021,8,475.539618122356,478.24209261531,417.17633418067,0.718571428571429,0.695238095238095,0.935714285714286,1.95714285714286
2021,9,475.281108715146,478.366008368465,417.235660195177,1.08636363636364,1.14727272727273,1.48227272727273,2.20954545454545
2021,10,476.054640719987,479.535612344784,419.34849074145,1.06619047619048,1.34047619047619,1.54333333333333,2.55333333333333
2021,11,479.173308973646,480.206551122736,420.327900782322,2.03181818181818,2.19909090909091,2.43,3.39954545454545
2021,12,479.752541044096,480.449417058749,421.015611369073,2.57428571428571,2.66666666666667,2.95666666666667,4.10285714285714
2022,1,480.901036030786,481.834564167254,419.187463241356,3.09333333333333,3.24952380952381,4.00428571428571,4.43238095238095
2022,2,482.919675427861,482.905365594501,418.71532585596,4.3465,4.437,4.5995,4.656
2022,3,482.679579274108,483.906257082234,423.176902700246,5.41714285714286,5.5652380952381,5.74142857142857,6.18285714285714
2022,4,481.145435337774,485.475600536838,422.94700260275,5.73210526315789,5.78052631578947,6.15157894736842,6.88631578947368
2022,5,482.51919431591,487.134203042576,424.998359645896,6.085,6.28727272727273,6.49318181818182,7.09954545454545
2022,6,483.159196500457,488.598193153661,427.540835480064,6.43,6.84190476190476,6.92571428571429,7.91
